Original File,New File
.DS_Store,Other - .DS Store
10th.pdf,Other - 10th.pdf
12th_FYBCS.pdf,Other - 12th FYBCS.pdf
BSC Degree.pdf,Academic - BSC Degree.pdf
BSC.pdf,Other - BSC.pdf
Calyx_2006.pdf,Other - Calyx 2006.pdf
Calyx_2007.pdf,Other - Calyx 2007.pdf
CertificateOfCompletion_AI Orchestration Validation and User Feedback and Performance Metrics.pdf,Linkedin - AI Orchestration Validation and User Feedback and Performance.pdf
CertificateOfCompletion_AIPowered Agile Strategies for Modern Project Managers.pdf,Linkedin - AIPowered Agile Strategies for Modern Project Managers.pdf
CertificateOfCompletion_AWS for DevOps Security Governance and Validation.pdf,Linkedin - AWS for DevOps Security Governance and Validation.pdf
CertificateOfCompletion_Build with AI Creating Apps with Cursor 2 Agents.pdf,Linkedin - Build with AI Creating Apps with Cursor 2.pdf
CertificateOfCompletion_Cert Prep PRINCE2 Foundation and Practitioner (1).pdf,Linkedin - Cert Prep PRINCE2 Foundation and Practitioner.pdf
CertificateOfCompletion_Cert Prep_ Scrum Master.pdf,Linkedin - Cert Prep Scrum Master.pdf
CertificateOfCompletion_CISM Cert Prep 2 Information Risk Management.pdf,Linkedin - CISM Cert Prep 2 Information Risk Management.pdf
CertificateOfCompletion_Customer Service Foundations (1).pdf,Linkedin - Customer Service Foundations.pdf
CertificateOfCompletion_DevOps Foundations.pdf,Linkedin - DevOps Foundations.pdf
CertificateOfCompletion_Excel 2016 Macros in Depth.pdf,Linkedin - Excel 2016 Macros in Depth.pdf
CertificateOfCompletion_Git Essential Training The Basics.pdf,Linkedin - Git Essential Training The Basics.pdf
CertificateOfCompletion_iOS App Development Essential Courses.pdf,Linkedin - iOS App Development Essential Courses.pdf
CertificateOfCompletion_Leading without Formal Authority 2017.pdf,Linkedin - Leading without Formal Authority 2017.pdf
CertificateOfCompletion_Learning Canva.pdf,Linkedin - Learning Canva.pdf
CertificateOfCompletion_Learning JIRA Service Desk.pdf,Linkedin - Learning JIRA Service Desk.pdf
CertificateOfCompletion_Learning Jira Software.pdf,Linkedin - Learning Jira Software.pdf
CertificateOfCompletion_Microsoft Excel Using Solver for Decision Analysis (1).pdf,Linkedin - Microsoft Excel Using Solver for Decision Analysis.pdf
CertificateOfCompletion_Project Management Foundations.pdf,Linkedin - Project Management Foundations.pdf
CertificateOfCompletion_SharePoint 2016 Managing Large Lists.pdf,Linkedin - SharePoint 2016 Managing Large Lists.pdf
CertificateOfCompletion_Technology for Product Managers.pdf,Linkedin - Technology for Product Managers.pdf
CertificateOfCompletion_Transitioning from Technical Professional to Manager (1).pdf,Linkedin - Transitioning from Technical Professional to Manager.pdf
CertificateOfCompletion_What Is Scrum.pdf,Linkedin - What Is Scrum.pdf
EXSA STAR 2020.pdf,Other - EXSA STAR 2020.pdf
Impact_2006.pdf,Other - Impact 2006.pdf
Impact_2009.pdf,Other - Impact 2009.pdf
Impact_2010.jpg,Other - Impact 2010.jpg
Indian_Express1.pdf,Other - Indian Express1.pdf
Indian_Express2.pdf,Other - Indian Express2.pdf
Interaction_2009.pdf,Other - Interaction 2009.pdf
Interface_2006.pdf,Other - Interface 2006.pdf
Jalgaon2.pdf,Other - Jalgaon2.pdf
Jalgaon3.pdf,Other - Jalgaon3.pdf
Jalgaon6.pdf,Other - Jalgaon6.pdf
Jalgaon7.pdf,Other - Jalgaon7.pdf
Jalgaon8.pdf,Other - Jalgaon8.pdf
Jalgaon9.pdf,Other - Jalgaon9.pdf
Lokmat.pdf,Other - Lokmat.pdf
MCS1_Software.pdf,Other - MCS1 Software.pdf
MSC Degree.PDF,Academic - MSC Degree.pdf
MSC.pdf,Other - MSC.pdf
MSc_degree1.pdf,Academic - MSc degree1.pdf
MSc_degree2.pdf,Academic - MSc degree2.pdf
Other - Other Other Other Other Other Other.ds store,Other - Other Other Other Other Other Other Other.ds store
Other - Other Other Other Other Other renamed 1.ds store,Other - Other Other Other Other Other Other renamed 1.ds store
Other - Other Other Other Other.ds store,Other - Other Other Other Other Other.ds store
paper_nanda_ranade.pdf,Other - Microsoft Word - safepaper.doc.pdf
SY__Licence.pdf,Other - SY Licence.pdf
SY_marksheet.tif,Other - SY marksheet.tiff
Symbiosis_2007.pdf,Other - Symbiosis 2007.pdf
Tomorrowthon-Certificate.pdf,Professional - Tomorrowthon Certificate.pdf
TY_marksheet.tif,Other - TY marksheet.tiff
TY_Software.pdf,Other - TY Software.pdf
